code,name,current price, highest price, lowest price, rate to high, rate to low, price rate,days from last open, days from lowest price, priceTrend, redKline, redSoldier, averageLineSlope, lineHead, priceToAverageLine, industrySector, industrySubSector
000727,华东科技,8.67,18.14,7.0,0.4779493,0.80738175,0.14991024,3,75,GoDown,2,false,-0.04683304,HeadDown,-0.11828146,制造业,电子元件
002100,天康生物,9.19,17.22,7.23,0.53368175,0.78672475,0.19619615,3,82,GoDown,2,true,-0.03883362,HeadUnknown,-0.07334067,制造业,农林牧渔
000720,新能泰山,8.36,17.01,7.02,0.49147558,0.839713,0.1341341,3,64,GoDown,0,true,-0.07266712,HeadDown,-0.13122012,电力、煤气及水的生产和供应业,新能源
000721,西安饮食,7.82,16.29,5.88,0.4800491,0.75191814,0.18635926,3,75,GoDown,2,true,-0.021333376,HeadDown,-0.11419427,住宿和餐饮业,旅游酒店
000722,湖南发展,17.37,32.5,11.76,0.53446156,0.6770293,0.27049184,3,82,GoDown,2,true,-0.1181666,HeadDown,-0.10310882,null,电力
002603,以岭药业,16.2,30.74,13.09,0.52700067,0.80802464,0.17620401,3,78,GoDown,0,true,-0.08433405,HeadDown,-0.108672835,制造业,医药
600005,武钢股份,3.66,7.27,3.23,0.50343883,0.88251364,0.106435664,3,2,GoUpRed,2,false,-0.0033332508,HeadUnknown,0.05136611,null,钢铁
000735,罗牛山,6.93,12.52,5.1,0.55351436,0.73593074,0.2466307,3,75,GoDown,2,true,-0.061166603,HeadDown,-0.12041845,深证成指,农牧饲渔
000739,普洛药业,7.6,14.4,6.1,0.5277778,0.80263156,0.1807229,3,75,GoDown,2,true,-0.022833506,HeadDown,-0.053947285,深证成指,医药
000732,泰禾集团,21.77,37.73,19.5,0.5769945,0.89572805,0.12452005,3,75,GoDown,0,false,-0.13733356,HeadDown,-0.12303625,房地产业,海峡西岸
000731,四川美丰,8.68,19.43,6.82,0.44673187,0.78571427,0.14750199,3,82,GoDown,2,true,-0.059666634,HeadDown,-0.089861825,制造业,化工化纤
002610,爱康科技,10.85,22.59,8.22,0.48030102,0.7576037,0.18302019,3,66,GoDown,2,false,-0.072499596,HeadDown,-0.09986174,null,新能源
002613,北玻股份,7.07,13.08,5.02,0.5405199,0.7100424,0.25434247,3,75,GoDown,2,true,-0.019166311,HeadDown,-0.08642157,null,新能源
600008,首创股份,9.4,19.57,7.79,0.480327,0.82872343,0.1366723,2,121,GoDown,1,true,-0.051166534,HeadDown,-0.0963831,null,供水供气
600006,东风汽车,7.88,15.19,7.01,0.51876235,0.8895939,0.10635696,3,122,GoDown,2,false,-0.04349931,HeadDown,-0.09105351,制造业,汽车行业
600021,上海电力,13.54,32.93,13.1,0.41117522,0.9675037,0.022188582,3,1,GoDown,2,true,-0.10100015,HeadDown,-0.09634421,电力、煤气及水的生产和供应业,新能源
600022,山东钢铁,3.38,7.34,2.95,0.46049047,0.87278104,0.09794989,3,2,GoUpRed,2,false,0.00483338,HeadUp,0.08668638,制造业,钢铁行业
000758,中色股份,14.12,27.88,11.71,0.50645626,0.82932013,0.14904144,3,75,GoDown,2,false,-0.068499565,HeadDown,-0.06767015,深证成指,新能源
000759,中百集团,7.74,14.55,6.21,0.53195876,0.8023256,0.1834532,3,75,GoDown,2,false,-0.0048335395,HeadUnknown,-0.07428951,null,商业连锁
000757,浩物股份,10.8,18.3,7.43,0.59016395,0.68796295,0.31002766,3,122,GoDown,0,false,-0.017833391,HeadUnknown,-0.09726851,制造业,节能环保
600403,大有能源,5.9,11.56,4.53,0.5103806,0.76779664,0.19487907,3,75,GoDown,2,false,-0.041999817,HeadUnknown,-0.055762712,采掘业,煤炭石油
000753,漳州发展,5.76,12.08,4.81,0.4768212,0.8350694,0.13067405,3,95,GoDown,2,true,-0.028333506,HeadDown,-0.09782984,批发和零售业,交通工具
000750,国海证券,11.72,23.09,8.21,0.507579,0.70051193,0.23588711,3,75,GoDown,2,true,-0.03433323,HeadDown,-0.07461606,金融业,券商
000751,锌业股份,5.87,12.28,4.65,0.47801304,0.79216355,0.15989514,3,53,GoDown,2,false,-0.013666471,HeadDown,-0.07120958,制造业,有色金属
600409,三友化工,7.17,12.44,6.41,0.5763666,0.89400274,0.12603652,3,75,GoDown,2,true,-0.04549996,HeadDown,-0.06896788,null,化工行业
