#date, start price, highest price, close price, lowest price, deal number, deal amount
2015-03-31,20.930,21.280,20.710,20.450,13232872,274666560
2015-03-30,20.150,20.990,20.830,20.000,20406832,420519168
2015-03-27,20.080,20.390,19.950,19.770,11077028,220311200
2015-03-26,20.380,20.990,19.960,19.850,14104991,287897280
2015-03-25,19.780,20.450,20.390,19.500,16841098,336804576
2015-03-24,20.200,20.200,19.800,19.350,18012504,356602560
2015-03-23,20.170,20.280,20.230,19.910,16045975,322445216
2015-03-20,19.990,20.180,20.010,19.650,16768646,333981792
2015-03-19,19.320,19.990,19.760,19.240,15652717,308236288
2015-03-18,19.340,19.450,19.400,19.000,14798254,284020736
2015-03-17,19.000,19.300,19.250,18.900,13714783,261955536
2015-03-16,18.690,18.940,18.900,18.630,8275174,155719680
2015-03-13,18.340,18.660,18.630,18.330,5225413,96758864
2015-03-12,19.100,19.100,18.430,18.300,7717430,143817904
2015-03-11,18.920,19.140,18.960,18.730,8356704,158580336
2015-03-10,18.580,18.930,18.790,18.370,5691506,106538144
2015-03-09,18.500,18.600,18.580,18.060,4274981,78499312
2015-03-06,19.350,19.350,18.520,18.500,6934836,130893040
2015-03-05,19.090,19.100,19.070,18.800,10947231,207495904
2015-03-04,19.000,19.190,18.850,18.620,10812320,203782672
2015-03-03,18.450,19.360,18.640,18.320,16534714,311275520
2015-03-02,18.320,18.580,18.520,18.140,8378890,154268640
2015-02-27,18.380,18.440,18.300,18.180,4036176,73859472
2015-02-26,18.200,18.310,18.280,18.070,3197371,58250080
2015-02-25,18.170,18.450,18.260,17.910,4032207,73334464
2015-02-17,18.090,18.160,18.110,17.900,2873420,51881688
2015-02-16,18.000,18.180,18.060,17.830,3359734,60419856
2015-02-13,17.710,18.070,17.860,17.710,4241281,75860896
2015-02-12,17.590,17.700,17.680,17.300,3730118,65555192
2015-02-11,17.550,17.620,17.510,17.430,2408414,42187704
2015-02-10,17.310,17.700,17.520,17.180,2108801,36695132
2015-02-09,17.760,17.990,17.380,17.300,2472590,43432196
2015-02-06,17.540,18.100,17.720,17.500,4084418,72745624
2015-02-05,17.600,18.320,17.750,17.410,5445684,97317936
2015-02-04,17.550,17.890,17.490,17.340,3465512,61090828
2015-02-03,17.420,17.720,17.690,17.350,2714910,47531416
2015-02-02,17.400,17.470,17.350,17.110,4354632,75215464
2015-01-30,18.430,18.430,17.760,17.750,4860397,87466472
2015-01-29,18.160,18.590,18.310,18.160,6183366,113707152
2015-01-28,18.560,18.560,18.180,18.160,6783593,124378856
2015-01-27,18.630,18.960,18.830,18.310,13386860,249592320
2015-01-26,18.300,18.980,18.870,18.100,12477584,232138720
2015-01-23,18.330,18.880,18.390,18.230,12992786,240549344
2015-01-22,18.290,18.400,18.290,17.960,8419805,153138240
2015-01-21,17.880,18.450,18.360,17.700,8106687,147078192
2015-01-20,17.500,17.940,17.820,17.390,6307620,111600736
2015-01-19,18.210,18.390,17.310,17.240,10536257,188021408
2015-01-16,19.900,20.250,19.150,18.800,12736518,249301520
2015-01-15,19.300,19.300,19.200,18.800,6061782,115445520
2015-01-14,19.900,19.900,19.330,19.020,7759554,150299568
2015-01-13,19.990,20.350,19.940,19.530,10562235,209468096
2015-01-12,18.990,20.090,20.040,18.870,14649895,286999296
2015-01-09,18.880,19.900,19.270,18.480,12946412,250698320
2015-01-08,18.890,19.990,19.160,18.460,15607772,302873728
2015-01-07,17.550,19.440,18.890,17.550,14227371,267936800
2015-01-06,17.390,17.880,17.770,17.000,4179122,73133248
2015-01-05,17.850,17.900,17.470,17.000,4568473,79390504
2015-06-30,26.000,29.240,29.240,25.410,20287368,557664832
2015-06-29,26.900,27.310,26.580,23.300,23215852,604006656
2015-06-26,27.850,27.850,25.610,25.610,15665315,413642720
2015-06-25,31.200,31.210,28.450,28.050,14970161,443664800
2015-06-24,32.000,32.560,31.170,30.480,16570198,523283072
2015-06-23,30.500,32.270,31.720,29.130,14517952,452872160
2015-06-19,31.680,32.690,30.440,30.350,15790346,496995968
2015-06-18,36.120,37.400,33.700,33.700,17971244,640103872
2015-06-17,36.460,38.780,37.440,34.500,36710580,1336753536
2015-06-16,35.960,35.960,35.960,34.000,8572293,306407552
2015-05-28,33.550,36.500,32.690,32.000,34246136,1193358464
2015-05-27,32.580,34.590,33.500,31.000,30769818,1011054912
2015-05-26,30.080,32.850,32.490,29.800,28929356,902645760
2015-05-25,28.710,31.000,30.090,28.480,30409020,905492608
2015-05-22,29.670,30.190,28.890,28.410,23112376,671835008
2015-05-21,28.560,29.550,29.410,27.810,21541476,616986048
2015-05-20,28.050,29.350,28.470,27.780,23344856,663731968
2015-05-19,26.620,27.950,27.940,26.610,21984942,600673024
2015-05-18,26.430,27.300,27.000,26.140,16666116,448186048
2015-05-15,27.300,27.300,26.580,25.900,15410393,407527936
2015-05-14,26.430,27.750,27.180,26.320,18365140,497250208
2015-05-13,27.410,27.490,26.380,26.260,16440817,438456928
2015-05-12,25.910,27.710,27.370,25.910,23191952,627035200
2015-05-11,24.780,25.840,25.810,24.010,14662729,362167424
2015-05-08,23.800,24.400,24.240,23.600,8452601,202360288
2015-05-07,23.500,24.050,23.600,23.380,7782553,184526032
2015-05-06,24.480,24.880,23.350,23.010,10520822,254145424
2015-05-05,26.390,26.400,24.480,24.390,13442911,338202368
2015-05-04,26.260,26.840,26.280,26.100,8501546,224658352
2015-04-30,25.680,26.900,26.230,25.520,11425752,300612608
2015-04-29,24.830,25.970,25.770,24.600,10997411,280286528
2015-04-28,26.700,26.780,25.510,25.350,15697130,407361984
2015-04-27,27.800,27.840,27.090,26.680,15076902,408827872
2015-04-24,27.360,27.990,27.410,27.000,14036433,385083456
2015-04-23,29.000,29.800,28.350,28.110,23886524,691613760
2015-04-22,28.400,29.000,28.000,27.720,18396472,518916608
2015-04-21,26.500,27.190,27.150,26.080,14512225,386168544
2015-04-20,27.370,28.990,27.000,25.450,24007706,651924288
2015-04-17,30.490,31.040,28.280,28.250,44789324,1329051264
2015-04-16,26.100,28.220,28.220,25.950,24222546,667141376
2015-04-15,26.990,29.670,25.650,24.910,23539100,617652608
2015-04-14,25.800,27.710,27.300,25.300,19797768,529611040
2015-04-13,25.620,26.590,25.820,24.600,14569428,373155776
2015-04-10,24.780,25.980,25.590,24.510,12841620,327409184
2015-04-09,26.110,26.140,25.100,23.500,20002060,496840256
2015-04-08,27.290,27.990,26.080,25.290,32765412,870750336
2015-04-07,24.000,25.970,25.970,24.000,18179304,460600480
2015-04-03,22.350,23.960,23.610,22.350,21300108,495337280
2015-04-02,21.900,22.990,22.300,21.700,19035060,423732448
2015-04-01,20.610,22.200,21.950,20.610,21812026,467448032
2015-08-20,24.830,25.130,23.880,23.650,6796087,166922144
2015-08-19,22.800,25.360,25.270,22.510,11325226,270341568
2015-08-18,26.640,27.500,23.680,23.680,14625479,378281824
2015-08-17,26.200,26.600,26.310,25.300,9150877,237573632
2015-08-14,27.680,27.970,26.700,26.210,14480445,392830208
2015-08-13,25.810,26.990,26.870,25.500,13839596,367960288
2015-08-12,25.500,26.500,25.740,25.340,10028659,261697600
2015-08-11,26.050,27.300,26.100,25.890,15451136,409341088
2015-08-10,24.500,26.200,25.990,24.500,15001668,386018432
2015-08-07,23.880,24.450,24.180,23.450,11547169,277086208
2015-08-06,22.370,24.000,23.390,21.880,9912051,229852480
2015-08-05,23.300,23.980,22.790,22.580,9784264,226816944
2015-08-04,21.160,22.990,22.900,21.160,8394381,185107792
2015-08-03,22.220,23.390,20.990,20.550,9881065,214549440
2015-07-31,23.380,24.180,22.820,22.460,8908749,209005920
2015-07-30,23.350,25.150,23.990,23.300,17220260,418580224
2015-07-29,21.400,22.970,22.970,21.380,16797492,370925056
2015-07-28,20.810,23.150,20.880,20.530,15055923,320120928
2015-07-27,24.300,25.280,22.810,22.810,14300901,346240640
2015-07-24,26.750,27.100,25.340,24.980,19114800,499630112
2015-07-23,26.250,27.120,26.730,25.610,17871342,473883392
2015-07-22,25.450,26.700,26.290,25.100,17672852,460917696
2015-07-21,26.180,26.180,25.540,24.960,22217220,564633792
2015-07-20,24.350,26.280,26.280,24.300,29145602,752856384
2015-07-17,22.500,24.190,23.890,22.180,14671470,341651712
2015-07-16,19.580,22.480,22.200,19.580,13853024,295526368
2015-07-15,23.200,23.790,21.750,21.750,12803387,286639296
